From	To
FGF23	FGFR2
FGF23	FGFR3
FGF23	FGFR4
FGF23	PHEX
FGF3	FGFR1
FGF3	FGFR2
FGF3	FGFR3
FGF3	FGFR4
FGF4	FGFR1
FGF4	FGFR2
FGF4	FGFR3
FGF4	FGFR4
FGF4	NRP1
FGF5	FGFR1
FGF5	FGFR2
FGF5	FGFR3
FGF5	FGFR4
FGF6	FGFR1
FGF6	FGFR2
FGF6	FGFR3
FGF6	FGFR4
FGF7	FGFR1
FGF7	FGFR2
FGF7	FGFR3
FGF7	FGFR4
FGF7	NRP1
FGF8	FGFR1
FGF8	FGFR2
FGF8	FGFR3
FGF8	FGFR4
FGF9	FGFR1
FGF9	FGFR2
FGF9	FGFR3
FGF9	FGFR4
FGFR1	Macrophage
FGFR1	Mast_cells
FGFRL1	NK_cells
FGG	ITGA2B
FGG	ITGA5
FGG	ITGAV
FGG	ITGB1
FGG	ITGB2
FGL1	EGFR
FIGF	FLT4
FIGF	ITGA9
FIGF	KDR
FIGF	NRP2
FLT1	Macrophage
FLT3LG	FLT3
FN1	CD44
FN1	COL13A1
FN1	ITGA2
FN1	ITGA2B
FN1	ITGA3
FN1	ITGA4
FN1	ITGA5
FN1	ITGA8
FN1	ITGA9
FN1	ITGAV
FN1	ITGB1
FN1	ITGB3
FN1	ITGB6
FN1	ITGB7
FN1	ITGB8
FN1	MAG
FN1	NT5E
FN1	PLAUR
FN1	SDC2
FN1	TMPRSS6
FN1	TNFRSF11B
FN1	TSHR
FPR1	B_cells
FPR1	Eosinophils
FPR1	Macrophage
FPR1	Neutrophils
FPR1	T_cells_CD8
FPR2	Eosinophils
FPR2	Neutrophils
FPR3	Macrophage
FPR3	Mast_cells
FSHB	FSHR
FZD1	Mast_cells
FZD3	Mast_cells
FZD5	Macrophage
GAL	GALR1
GAL	GALR2
GAL	GALR3
GAL	GPR151
GALP	GALR1
GALP	GALR2
GALP	GALR3
GAS6	AXL
GAS6	MERTK
GAS6	TYRO3
GAST	CCKBR
GCG	GCGR
GCG	GLP1R
GCG	GLP2R
GDF11	ACVR1B
GDF11	ACVR2A
GDF11	ACVR2B
GDF2	ACVR1
GDF2	ACVR2A
GDF2	ACVR2B
GDF2	ACVRL1
GDF2	BMPR2
GDF2	ENG
GDF5	ACVR1
GDF5	ACVR2A
GDF5	ACVR2B
GDF5	BMPR1A
GDF5	BMPR1B
GDF5	BMPR2
GDF5	ROR2
GDF6	BMPR1A
GDF6	BMPR1B
GDF6	BMPR2
GDF7	ACVR2A
GDF7	BMPR1A
GDF7	BMPR2
GDF9	ACVR2A
GDF9	BMPR1A
GDF9	BMPR1B
GDF9	BMPR2
GDF9	FXYD6
GDF9	ORAI2
GDF9	TGFBR1
GDNF	GFRA1
GDNF	GFRA2
GDNF	RET
GH1	GHR
GH1	PRLR
GH2	GHR
GHRH	GHRHR
GHRH	VIPR1
GHRL	GHRHR
GHRL	GHSR
GHRL	GPR39
GHRL	MLNR
GIP	DPP4
GIP	GIPR
GIPR	NK_cells
GNAI2	ADCY1
GNAI2	ADORA1
GNAI2	ADRA2A
GNAI2	ADRA2B
GNAI2	AGTR2
GNAI2	C5AR1
GNAI2	CAV1
GNAI2	CCR5
GNAI2	CHRM1
GNAI2	CNR1
GNAI2	CXCR1
GNAI2	CXCR2
GNAI2	DRD2
GNAI2	EDNRA
GNAI2	EGFR
GNAI2	F2R
GNAI2	FPR1
GNAI2	IGF1R
GNAI2	LHCGR
GNAI2	LPAR3
GNAI2	MTNR1A
GNAI2	MTNR1B
GNAI2	OPRD1
GNAI2	OPRM1
GNAI2	P2RY12
GNAI2	PTPRU
GNAI2	TBXA2R
GNAI2	TSHR
GNAS	ADORA1
GNAS	ADRB3
GNAS	AVPR2
GNAS	CRHR1
GNAS	GCGR
GNAS	HTR6
GNAS	LHCGR
GNAS	PTGDR
GNAS	PTGIR
GNAS	TSHR
GNAS	VIPR1
GNB3	TGFBR1
GNRH1	GNRHR
GNRH2	GNRHR
GP1BA	Neutrophils
GP9	Eosinophils
GP9	Neutrophils
GPC3	CD81
GPC3	IGF1R
GPC4	Macrophage
GPHA2	TSHR
GPI	AMFR
GPR56	NK_cells
GPR56	T_cells_CD8
GRP	BRS3
GRP	GRPR
GRP	NMBR
GSTP1	TRAF2
GUCA2A	GUCY2C
GUCA2B	GUCY2C
GUCA2B	GUCY2D
GZMB	CHRM3
GZMB	IGF2R
HAS2	CD44
HAS2	HMMR
HAVCR2	T_cells_CD4
HAVCR2	T_cells_CD8
HBEGF	CD44
HBEGF	CD82
HBEGF	CD9
HBEGF	EGFR
HBEGF	ERBB2
HBEGF	ERBB4
HCRT	HCRTR1
HCRT	HCRTR2
HCRT	NPFFR2
HEBP1	FPR3
HGF	CD44
HGF	MET
HGF	SDC1
HGF	SDC2
HGF	ST14
HLA-A	APLP2
HLA-A	ERBB2
HLA-A	KIR3DL1
HLA-A	KIR3DL2
HLA-A	LILRB1
HLA-A	LILRB2
HLA-B	CANX
HLA-B	KIR3DL1
HLA-B	KLRD1
HLA-B	LILRB1
HLA-B	LILRB2
HLA-C	KIR2DL1
HLA-C	KIR2DL3
HLA-C	KIR2DS4
HLA-C	LILRA3
HLA-C	LILRB1
HLA-C	LILRB2
HLA-DRB1	LAG3
HLA-E	KLRC1
HLA-E	KLRC2
HLA-E	KLRD1
HLA-F	B_cells
HLA-F	Eosinophils
HLA-F	Macrophage
HLA-F	NK_cells
HLA-F	Neutrophils
HLA-F	T_cells_CD4
HLA-F	T_cells_CD8
HLA-G	KIR2DL4
HLA-G	KLRC1
HLA-G	KLRD1
HLA-G	LILRB1
HLA-G	LILRB2
HMGB1	SDC1
HMGB1	THBD
HMMR	Macrophage
HMMR	Mast_cells
HP	ITGAM
HP	ITGB2
HRAS	AGTR1
HRAS	CAV1
HRAS	GRIN2D
HRAS	INSR
HRAS	TLR2
HRAS	TLR9
HRG	FCGR1A
HRH4	Mast_cells
HSP90AA1	CFTR
HSP90AA1	EGFR
HSP90AA1	FGFR3
HSPG2	COL13A1
HSPG2	ITGA2
HSPG2	ITGB1
HSPG2	PTPRS
HTR2A	Mast_cells
IAPP	CALCR
IAPP	RAMP1
IAPP	RAMP2
ICAM1	EGFR
ICAM1	IL2RA
ICAM1	IL2RG
ICAM1	ITGAL
ICAM1	ITGAM
ICAM1	ITGAX
ICAM1	ITGB2
ICAM2	ITGAL
ICAM2	ITGAM
ICAM2	ITGB2
ICAM3	CLEC4M
ICAM3	ITGAD
ICAM3	ITGAL
ICAM3	ITGB2
ICAM4	ITGA2B
ICAM4	ITGA4
ICAM4	ITGAL
ICAM4	ITGAM
ICAM4	ITGAV
ICAM4	ITGB1
ICAM4	ITGB2
ICAM4	ITGB3
ICAM4	RHAG
ICAM5	ITGAL
ICAM5	ITGB2
ICOS	T_cells_CD4
ICOS	T_cells_CD8
IFNA1	IFNAR1
IFNA1	IFNAR2
IFNA10	IFNAR1
IFNA10	IFNAR2
IFNA13	IFNAR1
IFNA13	IFNAR2
IFNA14	IFNAR1
IFNA14	IFNAR2
IFNA16	IFNAR1
IFNA16	IFNAR2
IFNA17	IFNAR1
IFNA17	IFNAR2
IFNA2	IFNAR1
IFNA2	IFNAR2
IFNA21	IFNAR1
IFNA21	IFNAR2
IFNA4	IFNAR1
IFNA4	IFNAR2
IFNA5	IFNAR1
IFNA5	IFNAR2
IFNA6	IFNAR1
IFNA6	IFNAR2
IFNA7	IFNAR1
IFNA7	IFNAR2
IFNA8	IFNAR1
IFNA8	IFNAR2
IFNAR1	B_cells
IFNAR1	Eosinophils
IFNAR1	Macrophage
IFNAR1	Mast_cells
IFNAR1	NK_cells
IFNAR1	Neutrophils
IFNAR1	T_cells_CD4
IFNAR1	T_cells_CD8
IFNAR2	B_cells
IFNAR2	Eosinophils
IFNAR2	Macrophage
IFNAR2	Mast_cells
IFNAR2	NK_cells
IFNAR2	Neutrophils
IFNAR2	T_cells_CD4
IFNAR2	T_cells_CD8
IFNB1	IFNAR1
IFNB1	IFNAR2
IFNG	IFNGR1
IFNG	IFNGR2
IFNGR1	B_cells
IFNGR1	Eosinophils
IFNGR1	Macrophage
IFNGR1	Mast_cells
IFNGR1	NK_cells
IFNGR1	Neutrophils
IFNGR1	T_cells_CD4
IFNGR1	T_cells_CD8
IFNGR2	B_cells
IFNGR2	Eosinophils
IFNGR2	Macrophage
IFNGR2	Mast_cells
IFNGR2	NK_cells
IFNGR2	Neutrophils
IFNGR2	T_cells_CD4
IFNGR2	T_cells_CD8
IFNL1	IFNLR1
IFNL1	IL10RB
IFNL2	IFNLR1
IFNL2	IL10RB
IFNL3	IFNLR1
IFNL3	IL10RB
IFNW1	IFNAR1
IFNW1	IFNAR2
IGF1	IGF1R
IGF1R	Eosinophils
IGF1R	NK_cells
IGF1R	Neutrophils
IGF1R	T_cells_CD4
IGF1R	T_cells_CD8
IGF2	IGF1R
IGF2	IGF2R
IGF2	INSR
IGF2R	B_cells
IGF2R	Eosinophils
IGF2R	Macrophage
IGF2R	Mast_cells
IGF2R	NK_cells
IGF2R	Neutrophils
IGF2R	T_cells_CD4
IGF2R	T_cells_CD8
IGFBP4	FZD8
IGFBP4	LRP6
IGFL1	IGFLR1
IGFL2	IGFLR1
IGFL3	IGFLR1
IGFLR1	B_cells
IGFLR1	Eosinophils
IGFLR1	Macrophage
IGFLR1	Mast_cells
IGFLR1	NK_cells
IGFLR1	Neutrophils
IGFLR1	T_cells_CD4
IGFLR1	T_cells_CD8
IHH	BOC
IHH	CDON
IHH	HHIP
IHH	PTCH1
IHH	PTCH2
IL10	IL10RA
IL10	IL10RB
IL10RA	B_cells
IL10RA	Eosinophils
IL10RA	Macrophage
IL10RA	NK_cells
IL10RA	Neutrophils
IL10RA	T_cells_CD4
IL10RA	T_cells_CD8
IL10RB	B_cells
IL10RB	Eosinophils
IL10RB	Macrophage
IL10RB	Mast_cells
IL10RB	Neutrophils
IL10RB	T_cells_CD4
IL10RB	T_cells_CD8
IL11	IL11RA
IL11	IL6ST
IL12A	CD28
IL12A	IL12RB1
IL12A	IL12RB2
IL12B	IL12RB1
IL12B	IL12RB2
IL12B	IL23R
IL12RB1	NK_cells
IL12RB1	T_cells_CD4
IL12RB1	T_cells_CD8
IL13	IL13RA1
IL13	IL13RA2
IL13	IL2RG
IL13	IL4R
IL13RA1	Eosinophils
IL13RA1	Macrophage
IL13RA1	Neutrophils
IL15	IL15RA
IL15	IL2RA
IL15	IL2RB
IL15	IL2RG
IL15RA	NK_cells
IL16	CD4
IL16	GRIN2C
IL16	GRIN2D
IL16	KCNA3
IL16	KCND1
IL16	KCND2
IL16	KCNJ10
IL16	KCNJ15
IL16	KCNJ4
IL17A	IL17RA
IL17A	IL17RC
IL17B	IL17RB
IL17F	IL17RA
IL17RA	B_cells
IL17RA	Eosinophils
IL17RA	Macrophage
IL17RA	Mast_cells
IL17RA	NK_cells
IL17RA	Neutrophils
IL17RA	T_cells_CD4
IL17RA	T_cells_CD8
IL17RC	Macrophage
IL18	IL18R1
IL18	IL18RAP
IL18	IL1RAPL1
IL18	IL1RL2
IL18R1	Eosinophils
IL18R1	Mast_cells
IL18R1	NK_cells
IL18R1	Neutrophils
IL18R1	T_cells_CD4
IL18R1	T_cells_CD8
IL18RAP	Eosinophils
IL18RAP	Mast_cells
IL18RAP	NK_cells
IL18RAP	Neutrophils
IL18RAP	T_cells_CD8
IL19	IL20RA
IL19	IL20RB
IL1A	IL1R1
IL1A	IL1R2
IL1A	IL1RAP
IL1B	ADRB2
IL1B	IL1R1
IL1B	IL1R2
IL1B	IL1RAP
IL1F10	IL1R1
IL1R1	Eosinophils
IL1R1	Neutrophils
IL1R2	Eosinophils
IL1R2	Neutrophils
IL1RAP	Eosinophils
IL1RAP	Mast_cells
IL1RAP	Neutrophils
IL1RAP	T_cells_CD4
IL1RN	IL1R1
IL1RN	IL1R2
IL2	CD53
IL2	IL2RA
IL2	IL2RB
IL2	IL2RG
IL2	NGFR
IL20	IL20RA
IL20	IL20RB
IL20	IL22RA1
IL21	IL21R
IL21	IL2RG
IL21R	B_cells
IL21R	Eosinophils
IL21R	Macrophage
IL21R	NK_cells
IL21R	T_cells_CD4
IL21R	T_cells_CD8
IL22	IL10RA
IL22	IL10RB
IL22	IL22RA1
IL22	IL22RA2
IL23A	IL12RB1
IL23A	IL23R
IL24	IL20RA
IL24	IL20RB
IL24	IL22RA1
IL25	IL17RB
IL27	IL27RA
IL27RA	B_cells
IL27RA	Macrophage
IL27RA	Mast_cells
IL27RA	NK_cells
IL27RA	T_cells_CD4
IL27RA	T_cells_CD8
IL2RA	B_cells
IL2RA	Eosinophils
IL2RA	Macrophage
IL2RA	Mast_cells
IL2RA	NK_cells
IL2RA	T_cells_CD4
IL2RA	T_cells_CD8
IL2RB	Eosinophils
IL2RB	NK_cells
IL2RB	T_cells_CD4
IL2RB	T_cells_CD8
IL2RG	B_cells
IL2RG	Eosinophils
IL2RG	Macrophage
IL2RG	Mast_cells
IL2RG	NK_cells
IL2RG	Neutrophils
IL2RG	T_cells_CD4
IL2RG	T_cells_CD8
IL3	CSF2RB
IL3	IL3RA
IL31	IL31RA
IL31	OSMR
IL34	CSF1R
IL4	CD53
IL4	IL13RA1
IL4	IL13RA2
IL4	IL2RG
IL4	IL4R
IL4R	B_cells
IL4R	Eosinophils
IL4R	Macrophage
IL4R	Mast_cells
IL4R	NK_cells
IL4R	Neutrophils
IL4R	T_cells_CD4
IL4R	T_cells_CD8
IL5	CSF2RB
IL5	IL5RA
IL5RA	Mast_cells
IL5RA	NK_cells
IL5RA	Neutrophils
IL6	IL6R
IL6	IL6ST
IL6R	Eosinophils
IL6R	Macrophage
IL6R	Mast_cells
IL6R	NK_cells
IL6R	Neutrophils
IL6R	T_cells_CD4
IL6R	T_cells_CD8
IL6ST	B_cells
IL6ST	Eosinophils
IL6ST	Macrophage
IL6ST	Mast_cells
IL6ST	NK_cells
IL6ST	Neutrophils
IL6ST	T_cells_CD4
IL6ST	T_cells_CD8
IL7	IL2RG
IL7	IL7R
IL7R	Eosinophils
IL7R	Macrophage
IL7R	NK_cells
IL7R	Neutrophils
IL7R	T_cells_CD4
IL7R	T_cells_CD8
IL8	CXCR1
IL8	CXCR2
IL8	DARC
IL8	SDC1
IL8	SDC2
IL9	IL2RG
IL9	IL9R
IL9R	Mast_cells
INHA	ACVR2A
INHA	TGFBR3
INHBA	ACVR1
INHBA	ACVR1B
INHBA	ACVR2A
INHBA	ACVR2B
INHBA	BAMBI
INHBA	ENG
INHBA	TGFBR3
INHBB	ACVR1
INHBB	ACVR1B
INHBB	ACVR1C
INHBB	ACVR2A
INHBB	ACVR2B
INHBC	ACVR1
INHBC	ACVR1B
INHBC	ACVR2A
INHBC	ACVR2B
INS	IGF1R
INS	INSR
INS	LRP2
INSL3	RXFP2
INSL5	RXFP3
INSL5	RXFP4
INSR	Mast_cells
ITGA2B	Eosinophils
ITGA2B	Mast_cells
ITGA2B	Neutrophils
ITGA3	Macrophage
ITGA3	Mast_cells
ITGA4	B_cells
ITGA4	Eosinophils
ITGA4	Macrophage
ITGA4	Mast_cells
ITGA4	NK_cells
ITGA4	Neutrophils
ITGA4	T_cells_CD4
ITGA4	T_cells_CD8
ITGA5	Eosinophils
ITGA5	Macrophage
ITGA5	Mast_cells
ITGA5	NK_cells
ITGA5	Neutrophils
ITGA5	T_cells_CD4
ITGA5	T_cells_CD8
ITGA6	Macrophage
ITGA6	NK_cells
ITGA6	Neutrophils
ITGA6	T_cells_CD4
ITGA6	T_cells_CD8
ITGA9	Mast_cells
ITGAE	B_cells
ITGAE	Macrophage
ITGAE	T_cells_CD8
ITGAL	B_cells
ITGAL	Eosinophils
ITGAL	Macrophage
ITGAL	NK_cells
ITGAL	Neutrophils
ITGAL	T_cells_CD4
ITGAL	T_cells_CD8
ITGAM	B_cells
ITGAM	Eosinophils
ITGAM	Macrophage
ITGAM	Mast_cells
ITGAM	NK_cells
ITGAM	Neutrophils
ITGAM	T_cells_CD8
ITGAV	Macrophage
ITGAV	Mast_cells
ITGAV	NK_cells
ITGAV	T_cells_CD4
ITGAV	T_cells_CD8
ITGAX	B_cells
ITGAX	Eosinophils
ITGAX	Macrophage
ITGAX	Mast_cells
ITGAX	NK_cells
ITGAX	Neutrophils
ITGAX	T_cells_CD8
ITGB1	B_cells
ITGB1	Eosinophils
ITGB1	Macrophage
ITGB1	Mast_cells
ITGB1	NK_cells
ITGB1	Neutrophils
ITGB1	T_cells_CD4
ITGB1	T_cells_CD8
ITGB2	B_cells
ITGB2	Eosinophils
ITGB2	Macrophage
ITGB2	NK_cells
ITGB2	Neutrophils
ITGB2	T_cells_CD4
ITGB2	T_cells_CD8
ITGB3	Macrophage
ITGB3	Neutrophils
ITGB3BP	ITGB3
ITGB3BP	ITGB5
ITGB4	Eosinophils
ITGB5	Macrophage
ITGB7	B_cells
ITGB7	Eosinophils
ITGB7	NK_cells
ITGB7	Neutrophils
ITGB7	T_cells_CD4
ITGB7	T_cells_CD8
ITIH2	FCER1A
JAG1	NOTCH1
JAG1	NOTCH2
JAG1	NOTCH3
JAG1	NOTCH4
JAG2	NOTCH1
JAG2	NOTCH2
JAG2	NOTCH3
JMJD6	B_cells
JMJD6	Eosinophils
JMJD6	Macrophage
JMJD6	Mast_cells
JMJD6	NK_cells
JMJD6	Neutrophils
JMJD6	T_cells_CD4
JMJD6	T_cells_CD8
KAL1	FGFR1
KAL1	SDC2
KCNA3	B_cells
KCNA3	Eosinophils
KCNA3	NK_cells
KCNA3	T_cells_CD4
KCNA3	T_cells_CD8
KCNJ15	Eosinophils
KCNJ15	Neutrophils
KIR2DL1	NK_cells
KIR2DL3	NK_cells
KIR2DS4	NK_cells
KISS1	KISS1R
KISS1	MMP24
KIT	Mast_cells
KITLG	EPOR
KITLG	KIT
KLK3	EPOR
KLRC1	NK_cells
KLRC1	T_cells_CD8
KLRD1	NK_cells
KLRD1	T_cells_CD8
KLRK1	NK_cells
KLRK1	T_cells_CD8
KNG1	BDKRB1
KNG1	BDKRB2
KNG1	CD93
KNG1	GP1BA
KNG1	GPR135
KNG1	ITGB2
KNG1	PLAUR
KNG1	RXFP4
KREMEN1	Eosinophils
KREMEN1	Mast_cells
KREMEN1	Neutrophils
KRTAP4-12	AQP1
KRTAP4-12	CATSPER1
KRTAP4-12	CLDN2
KRTAP4-12	CNTFR
KRTAP4-12	LINGO1
KRTAP4-12	PDGFRB
KRTAP4-12	PLSCR4
L1CAM	CNTN1
L1CAM	EGFR
L1CAM	ERBB2
L1CAM	ERBB3
L1CAM	ITGA5
L1CAM	ITGAV
LACRT	SDC1
LAG3	B_cells
LAG3	Dendritic_cells
LAG3	Macrophage
LAG3	T_cells_CD4
LAG3	T_cells_CD8
LAMA1	ITGA1
LAMA1	ITGA2
LAMA1	ITGA7
LAMA1	ITGB1
LAMA1	ITGB8
LAMA1	NT5E
LAMA1	RPSA
LAMA1	TMPRSS6
LAMA2	ITGA7
LAMA2	ITGB1
LAMA2	RPSA
LAMA3	SDC2
LAMA5	BCAM
LAMB1	ITGA6
LAMB1	ITGB1
LAMB2	RPSA
LAMC2	ITGA3
LAMC2	ITGA6
LAMC2	ITGB1
LAMC2	ITGB4
LAMP1	B_cells
LAMP1	Eosinophils
LAMP1	Macrophage
LAMP1	Mast_cells
LAMP1	NK_cells
LAMP1	Neutrophils
LAMP1	T_cells_CD4
LAMP1	T_cells_CD8
LCN1	LMBR1L
LCN2	LRP2
LDLR	Eosinophils
LDLR	Macrophage
LDLR	Mast_cells
LDLR	NK_cells
LDLR	T_cells_CD4
LDLR	T_cells_CD8
LEFTY2	ACVR2B
LEP	LEPR
LEPR	Eosinophils
LEPR	Macrophage
LEPR	Mast_cells
LEPR	NK_cells
LEPR	Neutrophils
LEPR	T_cells_CD8
LGALS3BP	ITGB1
LGALS9	HAVCR2
LGR6	NK_cells
LGR6	T_cells_CD8
LHB	LHCGR
LIF	IL6ST
LIF	LIFR
LILRA3	Eosinophils
LILRA3	Macrophage
LILRA3	Neutrophils
LILRB1	B_cells
LILRB1	Eosinophils
LILRB1	Macrophage
LILRB1	NK_cells
LILRB1	Neutrophils
LILRB2	Eosinophils
LILRB2	Macrophage
LILRB2	Neutrophils
LIN7C	ABCA1
LIN7C	HTR2C
LIPC	LRP1
LIPH	LPAR1
LIPH	LPAR2
LIPH	LPAR4
LMBR1L	B_cells
LMBR1L	Eosinophils
LMBR1L	Macrophage
LMBR1L	Mast_cells
LMBR1L	NK_cells
LMBR1L	Neutrophils
LMBR1L	T_cells_CD4
LMBR1L	T_cells_CD8
LPA	LRP2
LPAR1	Macrophage
LPAR2	T_cells_CD4
LPAR2	T_cells_CD8
LPL	GPIHBP1
LPL	LRP1
LPL	LRP2
LPL	SDC1
LPL	VLDLR
LRP1	Macrophage
LRP1B	PLAUR
LRP4	Mast_cells
LRPAP1	LDLR
LRPAP1	LRP1
LRPAP1	LRP2
LRPAP1	LRP8
LRPAP1	SORL1
LRPAP1	SORT1
LRPAP1	VLDLR
LRRC4	Eosinophils
LRRC4	Neutrophils
LSR	B_cells
LSR	Mast_cells
LSR	NK_cells
LSR	T_cells_CD4
LSR	T_cells_CD8
LTA	LTBR
LTA	TNFRSF14
LTA	TNFRSF1A
LTA	TNFRSF1B
LTB	CD40
LTB	LTBR
LTB	TNFRSF1A
LTBP1	ITGB5
LTBP3	ITGB5
LTBR	Eosinophils
LTBR	Macrophage
LTBR	Mast_cells
LTBR	Neutrophils
LTF	LRP1
LTF	LRP11
LY86	CD180
MADCAM1	CD44
MADCAM1	ITGA4
MADCAM1	ITGB7
MARCO	Macrophage
MATN1	ITGA1
MATN1	ITGB1
MBL2	CALCR
MBL2	CD93
MDK	ALK
MDK	LRP1
MDK	LRP2
MDK	PTPRZ1
MDK	SDC1
MDK	SDC3
MDK	SDC4
MDK	TSPAN1
MEPE	PHEX
MERTK	Macrophage
MFAP2	NOTCH1
MFAP5	NOTCH1
MFGE8	ITGAV
MFGE8	ITGB3
MFGE8	PDGFRB
MFNG	NOTCH1
MFNG	NOTCH2
MIA	CDH7
MLLT4	EPHA7
MLLT4	EPHB2
MLLT4	EPHB3
MLLT4	EPHB6
MLLT4	F11R
MLLT4	NRXN2
MLLT4	NRXN3
MLLT4	PVRL1
MLLT4	PVRL2
MLLT4	PVRL3
MLLT4	PVRL4
MLN	MLNR
MMP1	CD44
MMP1	ITGA2
MMP12	PLAUR
MMP13	LRP1
MMP2	SDC2
MMP7	CD151
MMP7	CD44
MMP7	ERBB4
MMP9	CD44
MMP9	EPHB2
MMP9	LRP1
MRGPRX2	Mast_cells
MST1	MST1R
MSTN	ACVR2B
MUC2	AGR2
MUC7	SELL
MYOC	FZD1
MYOC	FZD10
MYOC	FZD3
MYOC	FZD4
MYOC	FZD7
Macrophage	A2M
Macrophage	ACE
Macrophage	ADAM10
Macrophage	ADAM15
Macrophage	ADAM17
Macrophage	ADAM28
Macrophage	ADAM9
Macrophage	ADM
Macrophage	AGRN
Macrophage	ANXA1
Macrophage	APOE
Macrophage	APP
Macrophage	ARF1
Macrophage	B2M
Macrophage	BST1
Macrophage	C1QA
Macrophage	C1QB
Macrophage	C3
Macrophage	CALR
Macrophage	CCL1
Macrophage	CCL13
Macrophage	CCL18
Macrophage	CCL2
Macrophage	CCL22
Macrophage	CCL23
Macrophage	CCL24
Macrophage	CCL3
Macrophage	CCL5
Macrophage	CCL7
Macrophage	CCL8
Macrophage	CD14
Macrophage	CD274
Macrophage	CD276
Macrophage	CD55
Macrophage	CD80
Macrophage	CSF1
Macrophage	CXCL1
Macrophage	CXCL16
Macrophage	CXCL2
Macrophage	CXCL3
Macrophage	CXCL5
Macrophage	F13A1
Macrophage	FN1
Macrophage	GAL
Macrophage	GAS6
Macrophage	GNAI2
Macrophage	GNAS
Macrophage	GPI
Macrophage	GSTP1
Macrophage	HBEGF
Macrophage	HEBP1
Macrophage	HLA-A
Macrophage	HLA-B
Macrophage	HLA-C
Macrophage	HLA-E
Macrophage	HMGB1
Macrophage	HRAS
Macrophage	HSP90AA1
Macrophage	ICAM1
Macrophage	IGFBP4
Macrophage	IL10
Macrophage	IL16
Macrophage	IL18
Macrophage	IL1B
Macrophage	IL1RN
Macrophage	IL8
Macrophage	ITGB3BP
Macrophage	KITLG
Macrophage	LAMB2
Macrophage	LGALS3BP
Macrophage	LIN7C
Macrophage	LPL
Macrophage	LRPAP1
Macrophage	LY86
Macrophage	MFNG
Macrophage	MIA
Macrophage	MMP2
Macrophage	MMP7
Macrophage	MMP9
Macrophage	NAMPT
Macrophage	PDAP1
Macrophage	PDGFC
Macrophage	PIGF
Macrophage	PLAU
Macrophage	PLTP
Macrophage	PON2
Macrophage	PPBP
Macrophage	PSAP
Macrophage	PSEN1
Macrophage	PTDSS1
Macrophage	PTMA
Macrophage	RPS19
Macrophage	RTN4
Macrophage	S100A8
Macrophage	S100A9
Macrophage	SELPLG
Macrophage	SEMA3C
Macrophage	SEMA4A
Macrophage	SEMA4B
Macrophage	SEMA4D
Macrophage	SEMA7A
Macrophage	SERPINA1
Macrophage	SERPINE1
Macrophage	SERPING1
Macrophage	SPINT1
Macrophage	SPP1
Macrophage	TCTN1
Macrophage	TFPI
Macrophage	TGFB1
Macrophage	TGM2
Macrophage	TIMP1
Macrophage	TIMP2
Macrophage	TIMP3
Macrophage	TNF
Macrophage	TNFSF10
Macrophage	TNFSF12
Macrophage	TNFSF13
Macrophage	TNFSF13B
Macrophage	TNFSF14
Macrophage	TNFSF15
Macrophage	TNFSF18
Macrophage	TNFSF9
Macrophage	VASP
Macrophage	VCAN
Macrophage	VEGFB
Macrophage	VIM
Macrophage	YARS
Mast_cells	ADAM10
Mast_cells	ADAM12
Mast_cells	ADAM17
Mast_cells	ADAM9
Mast_cells	ADCYAP1
Mast_cells	ADM
Mast_cells	ANXA1
Mast_cells	ARF1
Mast_cells	B2M
Mast_cells	CALR
Mast_cells	CCL1
Mast_cells	CCL2
Mast_cells	CCL28
Mast_cells	CCL3
Mast_cells	CCL4
Mast_cells	CCL5
Mast_cells	CD276
Mast_cells	CD55
Mast_cells	COL18A1
Mast_cells	COL1A1
Mast_cells	COL1A2
Mast_cells	COL3A1
Mast_cells	CSF1
Mast_cells	CSF2
Mast_cells	CTGF
Mast_cells	CXCL16
Mast_cells	CXCL2
Mast_cells	CXCL3
Mast_cells	DCN
Mast_cells	FASLG
Mast_cells	FLT3LG
Mast_cells	FN1
Mast_cells	GNAI2
Mast_cells	GNAS
Mast_cells	GPI
Mast_cells	GSTP1
Mast_cells	GZMB
Mast_cells	HLA-A
Mast_cells	HLA-B
Mast_cells	HLA-C
Mast_cells	HLA-E
Mast_cells	HMGB1
Mast_cells	HRAS
Mast_cells	HSP90AA1
Mast_cells	HSPG2
Mast_cells	ICAM1
Mast_cells	ICAM4
Mast_cells	ICAM5
Mast_cells	IGFBP4
Mast_cells	IL13
Mast_cells	IL16
Mast_cells	IL18
Mast_cells	IL1B
Mast_cells	IL1RN
Mast_cells	IL3
Mast_cells	IL31
Mast_cells	IL5
Mast_cells	IL8
Mast_cells	INHBA
Mast_cells	ITGB3BP
Mast_cells	JAG1
Mast_cells	KITLG
Mast_cells	L1CAM
Mast_cells	LAMA5
Mast_cells	LIF
Mast_cells	LIN7C
Mast_cells	LRP1B
Mast_cells	LRPAP1
Mast_cells	LTBP3
Mast_cells	MFNG
Mast_cells	NAMPT
Mast_cells	NOV
Mast_cells	NRG1
Mast_cells	NTNG2
Mast_cells	NTS
Mast_cells	OSM
Mast_cells	PDAP1
Mast_cells	PDGFA
Mast_cells	PDGFC
Mast_cells	PIGF
Mast_cells	PIP
Mast_cells	PLAT
Mast_cells	PLAU
Mast_cells	PON2
Mast_cells	PROS1
Mast_cells	PSAP
